id,Standard_length_mm,taxonomical_category,family,genus,species,prey_length_mm,prey_width_mm,class,prey_number,trial
61,24.064,unidentified,unidentified,unidentified,unidentified,0.5,0.18,B,1,first
62,21.43,empty,empty,empty,empty,,,,0,first
63,20.17,empty,empty,empty,empty,,,,0,first
64,18.08,empty,empty,empty,empty,,,,0,first
65,22.22,unidentified,unidentified,unidentified,unidentified,1.13,0.5,B,1,first
66,16.9,unidentified,unidentified,unidentified,unidentified,0.33,0.15,B,1,first
67,19.75,empty,empty,empty,empty,,,,0,first
68,16.25,empty,empty,empty,empty,,,,0,first
69,22.17,empty,empty,empty,empty,,,,0,first
70,21.96,unidentified,unidentified,unidentified,unidentified,0.38,0.3,,1,first
71,19.98,empty,empty,empty,empty,,,,0,first
72,22.27,empty,empty,empty,empty,,,,0,first
73,15.04,empty,empty,empty,empty,,,,0,first
74,17.34,empty,empty,empty,empty,,,,0,first
75,18.99,empty,empty,empty,empty,,,,0,first
76,21.31,unidentified,unidentified,unidentified,unidentified,0.9,0.3,,1,first
77,20.35,empty,empty,empty,empty,,,,0,first
78,16.62,empty,empty,empty,empty,,,,0,first
79,18.61,empty,empty,empty,empty,,,,0,first
80,27.29,Calanoida,Paracalanidae,unidentified,unidentified,0.6,0.23,PB,5,second
80,27.29,Calanoida,Temoridae,Temora,Temora turbinata,0.88,0.38,C,5,second
80,27.29,Calanoida,Temoridae,Temora,Temora turbinata,0.53,0.4,B,5,second
80,27.29,Calanoida,Temoridae,Temora,Temora turbinata,0.5,0.35,B,5,second
80,27.29,Calanoida,unidentified,unidentified,unidentified,0.65,0.55,B,5,second
81,28.31,Calanoida,Pontellidae,Labidocera,Labidocera rotunda,1.4,0.55,C,3,second
81,28.31,Paguroidea_Zoea,unidentified,unidentified,unidentified,1.7,0.48,C,3,second
81,28.31,Paguroidea_Zoea,unidentified,unidentified,unidentified,1.98,0.48,C,3,second
82,29.99,unidentified,unidentified,unidentified,unidentified,0.6,0.33,B,1,second
83,26.75,Calanoida,unidentified,unidentified,unidentified,0.55,0.3,B,1,second
84,27.44,unidentified,unidentified,unidentified,unidentified,0.58,0.25,B,1,second
85,26.43,unidentified,unidentified,unidentified,unidentified,0.73,0.38,B,1,second
86,24.88,empty,empty,empty,empty,,,,0,second
87,24.41,unidentified,unidentified,unidentified,unidentified,0.28,0.25,B,1,second
88,25.2,empty,empty,empty,empty,,,,0,second
89,26.18,crustacean_fragment,unidentified,unidentified,unidentified,0.83,0.4,B,1,second
90,29.5,Hyperiidea,unidentified,unidentified,unidentified,1.25,0.75,B,3,second
90,29.5,Hyperiidea,unidentified,unidentified,unidentified,0.88,0.45,B,3,second
90,29.5,Hyperiidea,unidentified,unidentified,unidentified,0.75,0.38,B,3,second
91,28.75,Paguroidea_Zoea,unidentified,unidentified,unidentified,1.55,0.43,C,2,second
91,28.75,Paguroidea_Zoea,unidentified,unidentified,unidentified,1.13,0.18,B,2,second
92,25.42,unidentified,unidentified,unidentified,unidentified,1.25,0.35,B,1,second
93,29.91,Calanoida,Pontellidae,Labidocera,Labidocera rotunda,0.88,1.05,B,7,second
93,29.91,Calanoida,Pontellidae,Labidocera,Labidocera rotunda,0.63,0.55,B,7,second
93,29.91,Calanoida,Temoridae,Temora,Temora turbinata,0.88,0.4,C,7,second
93,29.91,Calanoida,unidentified,unidentified,unidentified,0.5,0.3,B,7,second
93,29.91,Calanoida,unidentified,unidentified,unidentified,0.63,0.38,B,7,second
93,29.91,Calanoida,unidentified,unidentified,unidentified,0.5,0.48,B,7,second
93,29.91,Brachyura_Zoea,unidentified,unidentified,unidentified,1.88,0.63,C,7,second
94,28.87,empty,empty,empty,empty,,,,0,second
95,23.32,Calanoida,Temoridae,Temora,Temora turbinata,0.48,0.28,C,7,second
95,23.32,Calanoida,unidentified,unidentified,unidentified,0.48,0.28,B,7,second
95,23.32,Poecilostomatoida,Corycaeidae,Corycaeus affinis,Corycaeus affinis,0.5,0.33,C,7,second
95,23.32,Shrimp_Zoea,unidentified,unidentified,unidentified,0.63,0.48,B,7,second
95,23.32,Paguroidea_Zoea,unidentified,unidentified,unidentified,1,0.48,B,7,second
95,23.32,Paguroidea_Zoea,unidentified,unidentified,unidentified,0.83,0.38,B,7,second
95,23.32,Paguroidea_Zoea,unidentified,unidentified,unidentified,1.05,0.33,B,7,second
96,22.94,empty,empty,empty,empty,,,,0,second
97,32.21,Calanoida,Temoridae,Temora,Temora turbinata,0.95,0.6,C,5,second
97,32.21,crustacean_fragment,unidentified,unidentified,unidentified,0.38,0.3,B,5,second
97,32.21,crustacean_fragment,unidentified,unidentified,unidentified,0.6,0.25,B,5,second
97,32.21,crustacean_fragment,unidentified,unidentified,unidentified,0.35,0.25,B,5,second
97,32.21,crustacean_fragment,unidentified,unidentified,unidentified,0.35,0.2,B,5,second
98,31.16,empty,empty,empty,empty,,,,0,second
99,22.63,empty,empty,empty,empty,,,,0,third
100,21.7,empty,empty,empty,empty,,,,0,third
101,24.69,unidentified,unidentified,unidentified,unidentified,0.63,0.45,B,1,third
102,18.74,empty,empty,empty,empty,,,,0,third
103,21.55,unidentified,unidentified,unidentified,unidentified,0.5,0.25,B,1,third
104,21.65,unidentified,unidentified,unidentified,unidentified,0.5,0.28,B,1,third
105,19,empty,empty,empty,empty,,,,0,third
106,22.69,unidentified,unidentified,unidentified,unidentified,0.88,0.45,B,1,third
107,18.04,empty,empty,empty,empty,,,,0,third
108,18.67,empty,empty,empty,empty,,,,0,third
109,11.85,unidentified,unidentified,unidentified,unidentified,0.75,0.5,B,1,third
110,22.2,unidentified,unidentified,unidentified,unidentified,1.38,0.55,B,1,third
111,19.63,empty,empty,empty,empty,,,,0,third
112,23.3,Poecilostomatoida,Oncaea,unidentified,unidentified,0.25,0.13,B,1,third
113,23.57,empty,empty,empty,empty,,,,0,third
114,22.26,empty,empty,empty,empty,,,,0,third
115,18.79,unidentified,unidentified,unidentified,unidentified,1,0.38,B,1,third
116,24.39,unidentified,unidentified,unidentified,unidentified,0.83,0.45,B,1,third
117,20.84,empty,empty,empty,empty,,,,0,third
118,20.46,unidentified,unidentified,unidentified,unidentified,0.5,0.18,B,1,third
119,21.45,empty,empty,empty,empty,,,,0,third
